"cdm_table_name","cdm_field_name","is_required","cdm_datatype","type"
"person","person_id",TRUE,"integer","cdm_table"
"person","gender_concept_id",TRUE,"integer","cdm_table"
"person","year_of_birth",TRUE,"integer","cdm_table"
"person","month_of_birth",FALSE,"integer","cdm_table"
"person","day_of_birth",FALSE,"integer","cdm_table"
"person","birth_datetime",FALSE,"datetime","cdm_table"
"person","race_concept_id",TRUE,"integer","cdm_table"
"person","ethnicity_concept_id",TRUE,"integer","cdm_table"
"person","location_id",FALSE,"integer","cdm_table"
"person","provider_id",FALSE,"integer","cdm_table"
"person","care_site_id",FALSE,"integer","cdm_table"
"person","person_source_value",FALSE,"varchar(50)","cdm_table"
"person","gender_source_value",FALSE,"varchar(50)","cdm_table"
"person","gender_source_concept_id",FALSE,"integer","cdm_table"
"person","race_source_value",FALSE,"varchar(50)","cdm_table"
"person","race_source_concept_id",FALSE,"integer","cdm_table"
"person","ethnicity_source_value",FALSE,"varchar(50)","cdm_table"
"person","ethnicity_source_concept_id",FALSE,"integer","cdm_table"
"observation_period","observation_period_id",TRUE,"integer","cdm_table"
"observation_period","person_id",TRUE,"integer","cdm_table"
"observation_period","observation_period_start_date",TRUE,"date","cdm_table"
"observation_period","observation_period_end_date",TRUE,"date","cdm_table"
"observation_period","period_type_concept_id",TRUE,"integer","cdm_table"
"visit_occurrence","visit_occurrence_id",TRUE,"integer","cdm_table"
"visit_occurrence","person_id",TRUE,"integer","cdm_table"
"visit_occurrence","visit_concept_id",TRUE,"integer","cdm_table"
"visit_occurrence","visit_start_date",TRUE,"date","cdm_table"
"visit_occurrence","visit_start_datetime",FALSE,"datetime","cdm_table"
"visit_occurrence","visit_end_date",TRUE,"date","cdm_table"
"visit_occurrence","visit_end_datetime",FALSE,"datetime","cdm_table"
"visit_occurrence","visit_type_concept_id",TRUE,"integer","cdm_table"
"visit_occurrence","provider_id",FALSE,"integer","cdm_table"
"visit_occurrence","care_site_id",FALSE,"integer","cdm_table"
"visit_occurrence","visit_source_value",FALSE,"varchar(50)","cdm_table"
"visit_occurrence","visit_source_concept_id",FALSE,"integer","cdm_table"
"visit_occurrence","admitting_source_concept_id",FALSE,"integer","cdm_table"
"visit_occurrence","admitting_source_value",FALSE,"varchar(50)","cdm_table"
"visit_occurrence","discharge_to_concept_id",FALSE,"integer","cdm_table"
"visit_occurrence","discharge_to_source_value",FALSE,"varchar(50)","cdm_table"
"visit_occurrence","preceding_visit_occurrence_id",FALSE,"integer","cdm_table"
"visit_detail","visit_detail_id",TRUE,"integer","cdm_table"
"visit_detail","person_id",TRUE,"integer","cdm_table"
"visit_detail","visit_detail_concept_id",TRUE,"integer","cdm_table"
"visit_detail","visit_detail_start_date",TRUE,"date","cdm_table"
"visit_detail","visit_detail_start_datetime",FALSE,"datetime","cdm_table"
"visit_detail","visit_detail_end_date",TRUE,"date","cdm_table"
"visit_detail","visit_detail_end_datetime",FALSE,"datetime","cdm_table"
"visit_detail","visit_detail_type_concept_id",TRUE,"integer","cdm_table"
"visit_detail","provider_id",FALSE,"integer","cdm_table"
"visit_detail","care_site_id",FALSE,"integer","cdm_table"
"visit_detail","visit_detail_source_value",FALSE,"varchar(50)","cdm_table"
"visit_detail","visit_detail_source_concept_id",FALSE,"integer","cdm_table"
"visit_detail","admitting_source_value",FALSE,"varchar(50)","cdm_table"
"visit_detail","admitting_source_concept_id",FALSE,"integer","cdm_table"
"visit_detail","discharge_to_source_value",FALSE,"varchar(50)","cdm_table"
